id,code,name,parent_id:id,reconcile,user_type_id:id
co_puc_root,0,CO PUC ROOT,,FALSE,l10n_co_chart_account_hierarchy.data_account_type_view
co_puc_1,1,*ACTIVO*,co_puc_root,FALSE,account.data_account_type_current_assets
co_puc_11,11,DISPONIBLE,co_puc_1,FALSE,account.data_account_type_current_assets
co_puc_1105,1105,Caja,co_puc_11,FALSE,account.data_account_type_liquidity
co_puc_110505,110505,caja general,co_puc_1105,TRUE,account.data_account_type_liquidity
co_puc_110510,110510,cajas menores,co_puc_1105,TRUE,account.data_account_type_liquidity
co_puc_110515,110515,moneda extranjera,co_puc_1105,TRUE,account.data_account_type_liquidity
co_puc_1110,1110,Bancos,co_puc_11,FALSE,account.data_account_type_liquidity
co_puc_111005,111005,moneda nacional,co_puc_1110,TRUE,account.data_account_type_liquidity
co_puc_111010,111010,moneda extranjera,co_puc_1110,TRUE,account.data_account_type_liquidity
co_puc_1120,1120,Cuentas De Ahorro,co_puc_11,FALSE,account.data_account_type_liquidity
co_puc_112005,112005,bancos,co_puc_1120,TRUE,account.data_account_type_liquidity
co_puc_112010,112010,corporaciones de ahorro y vivienda,co_puc_1120,TRUE,account.data_account_type_liquidity
co_puc_112015,112015,organismos cooperativos financieros,co_puc_1120,TRUE,account.data_account_type_liquidity
co_puc_1125,1125,Fondos,co_puc_11,FALSE,account.data_account_type_liquidity
co_puc_112505,112505,rotatorios moneda nacional,co_puc_1125,TRUE,account.data_account_type_liquidity
co_puc_112510,112510,rotatorios moneda extranjera,co_puc_1125,TRUE,account.data_account_type_liquidity
co_puc_112515,112515,especiales moneda nacional,co_puc_1125,TRUE,account.data_account_type_liquidity
co_puc_112520,112520,especiales moneda extranjera,co_puc_1125,TRUE,account.data_account_type_liquidity
co_puc_112525,112525,de amortización moneda nacional,co_puc_1125,TRUE,account.data_account_type_liquidity
co_puc_112530,112530,de amortización moneda extranjera,co_puc_1125,TRUE,account.data_account_type_liquidity
co_puc_12,12,INVERSIONES,co_puc_1,FALSE,account.data_account_type_current_assets
co_puc_1205,1205,Acciones,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_120505,120505,"agricultura, ganadería, caza y silvicultura",co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120510,120510,pesca,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120515,120515,explotación de minas y canteras,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120520,120520,industria manufacturera,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120525,120525,"suministro de electricidad, gas y agua",co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120530,120530,construcción,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120535,120535,comercio al por mayor y al por menor,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120540,120540,hoteles y restaurantes,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120545,120545,"transporte, almacenamiento y comunicaciones",co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120550,120550,actividad financiera,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120555,120555,"actividades inmobiliarias, empresariales y de alquiler",co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120560,120560,enseñanza,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120565,120565,servicios sociales y de salud,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120570,120570,"otras actividades de servicios comunitarios, sociales y personales",co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_120599,120599,ajustes por inflación,co_puc_1205,FALSE,account.data_account_type_current_assets
co_puc_1210,1210,Cuotas O Partes De Interés Social,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_121005,121005,"agricultura, ganadería, caza y silvicultura",co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121010,121010,pesca,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121015,121015,explotación de minas y canteras,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121020,121020,industria manufacturera,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121025,121025,"suministro de electricidad, gas y agua",co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121030,121030,construcción,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121035,121035,comercio al por mayor y al por menor,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121040,121040,hoteles y restaurantes,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121045,121045,"transporte, almacenamiento y comunicaciones",co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121050,121050,actividad financiera,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121055,121055,"actividades inmobiliarias, empresariales y de alquiler",co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121060,121060,enseñanza,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121065,121065,servicios sociales y de salud,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121070,121070,"otras actividades de servicios comunitarios, sociales y personales",co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_121099,121099,ajustes por inflación,co_puc_1210,FALSE,account.data_account_type_current_assets
co_puc_1215,1215,Bonos,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_121505,121505,bonos públicos moneda nacional,co_puc_1215,FALSE,account.data_account_type_current_assets
co_puc_121510,121510,bonos públicos moneda extranjera,co_puc_1215,FALSE,account.data_account_type_current_assets
co_puc_121515,121515,bonos ordinarios,co_puc_1215,FALSE,account.data_account_type_current_assets
co_puc_121520,121520,bonos convertibles en acciones,co_puc_1215,FALSE,account.data_account_type_current_assets
co_puc_121595,121595,otros,co_puc_1215,FALSE,account.data_account_type_current_assets
co_puc_1220,1220,Cédulas,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_122005,122005,cédulas de capitalización,co_puc_1220,FALSE,account.data_account_type_current_assets
co_puc_122010,122010,cédulas hipotecarias,co_puc_1220,FALSE,account.data_account_type_current_assets
co_puc_122015,122015,cédulas de inversión,co_puc_1220,FALSE,account.data_account_type_current_assets
co_puc_122095,122095,otras,co_puc_1220,FALSE,account.data_account_type_current_assets
co_puc_1225,1225,Certificados,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_122505,122505,certificados de depósito a término (cdt),co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122510,122510,certificados de depósito de ahorro,co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122515,122515,certificados de ahorro de valor constante (cavc),co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122520,122520,certificados de cambio,co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122525,122525,certificados cafeteros valorizables,co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122530,122530,certificados eléctricos valorizables (cev),co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122535,122535,certificados de reembolso tributario (cert),co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122540,122540,certificados de desarrollo turístico,co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122545,122545,certificados de inversión forestal (cif),co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_122595,122595,otros,co_puc_1225,FALSE,account.data_account_type_current_assets
co_puc_1230,1230,Papeles Comerciales,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_123005,123005,empresas comerciales,co_puc_1230,FALSE,account.data_account_type_current_assets
co_puc_123010,123010,empresas industriales,co_puc_1230,FALSE,account.data_account_type_current_assets
co_puc_123015,123015,empresas de servicios,co_puc_1230,FALSE,account.data_account_type_current_assets
co_puc_1235,1235,Títulos,co_puc_12,FALSE,account.data_account_type_current_assets
co_puc_123505,123505,títulos de desarrollo agropecuario,co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123510,123510,títulos canjeables por certificados de cambio,co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123515,123515,títulos de tesorería (tes),co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123520,123520,títulos de participación,co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123525,123525,títulos de crédito de fomento,co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123530,123530,títulos financieros agroindustriales (tfa),co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123535,123535,títulos de ahorro cafetero (tac),co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123540,123540,títulos de ahorro nacional (tan),co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123545,123545,títulos energéticos de rentabilidad creciente (ter),co_puc_1235,FALSE,account.data_account_type_current_assets
co_puc_123550,123550,títulos de ahorro educativo (tae),co_puc_1235,FALSE,account.data_account_type_current_assets
